"Gene","Scaffold","Gene_Start","Gene_End","Score","Strand","note","Function","Additional_info","Gene_size","A_thaliana_orthologue"
"g26690","scaffold_182",84776,85703,0.23,"+",".","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","ahrd-qc=***",927,"AT1G24480"
"g26691","scaffold_182",85722,89441,1.31,"-",".","Short-chain dehydrogenase/reductase family protein","ahrd-qc=***",3719,"AT1G24470"
"g26692","scaffold_182",90092,97001,0.08,"-",".","TGN-localized SYP41-interacting protein","ahrd-qc=***",6909,"AT1G24460"
"g26693","scaffold_182",97627,98721,0.11,"-",".","Protein NUCLEAR FUSION DEFECTIVE 2","ahrd-qc=***",1094,"AT1G24450"
"g26694","scaffold_182",98939,101051,0.21,"-",".","RING finger protein","ahrd-qc=***",2112,"AT1G24440"
"g26695","scaffold_182",103436,105040,0.09,"+",".","Anthranilate N-benzoyltransferase protein%2C putative","ahrd-qc=***",1604,"AT1G24430"
"g26696","scaffold_182",105062,106441,0.06,"-",".","Transferase family protein","ahrd-qc=***",1379,"AT1G24420"
"g26697","scaffold_182",107657,108181,0.88,"-",".","Unknown protein","",524,NA
"g26698","scaffold_182",116056,120362,0.03,"+",".","Lysine histidine transporter 2","ahrd-qc=***",4306,"AT1G24400"
"g26701","scaffold_182",135886,137610,0.13,"+",".","Acid phosphatase/vanadium-dependent haloperoxidase-related protein","ahrd-qc=***",1724,"AT1G24350"
"g26702","scaffold_182",137662,145311,0.3,"-",".","U-box domain-containing protein 6","ahrd-qc=*-*",7649,"AT1G24340"
"g26703","scaffold_182",145676,150634,0.14,"+",".","Mannosyl-oligosaccharide glucosidase","ahrd-qc=***",4958,"AT1G24320"
"g26704","scaffold_182",150657,152881,0.45,"-",".","Nuclear pore complex protein NUP54","ahrd-qc=***",2224,"AT1G24310"
"g26706","scaffold_182",159756,161520,0.11,"+",".","AAA family ATPase","ahrd-qc=***",1764,"AT1G24290"
"g26707","scaffold_182",161532,165211,0.27,"-",".","Glucose-6-phosphate 1-dehydrogenase","ahrd-qc=***",3679,"AT1G24280"
"g26708","scaffold_182",165456,166263,0.11,"+",".","Unknown protein","",807,NA
"g26709","scaffold_182",166816,170113,0.22,"+",".","B-zip transcription factor%2C putative isoform 2","ahrd-qc=***",3297,"AT1G24267"
"g26710","scaffold_182",170633,173921,0.1,"-",".","At1g24265/At1g24265","ahrd-qc=***",3288,"AT1G24265"
"g26711","scaffold_182",181518,183878,0.22,"+",".","MADS-box transcription factor","ahrd-qc=***",2360,"AT1G24260"
"g26713","scaffold_182",187298,189146,0.43,"+",".","Paired amphipathic helix repeat-containing protein","ahrd-qc=***",1848,"AT1G23810"
"g26714","scaffold_182",190498,192091,0.04,"+",".","F17L21.8","ahrd-qc=***",1593,"AT1G27290"
"g26715","scaffold_182",199439,201593,0.18,"-",".","Nuclear transport factor 2","ahrd-qc=***",2154,"AT1G27310"
"g26716","scaffold_182",203088,208323,0.46,"+",".","Histidine kinase 3","ahrd-qc=***",5235,"AT1G27320"
"g26717","scaffold_182",210098,211352,0.14,"+",".","Stress-associated endoplasmic reticulum protein 2","ahrd-qc=***",1254,"AT1G27330"
"g26718","scaffold_182",212738,215220,0.25,"+",".","F-box only protein 6","ahrd-qc=***",2482,"AT1G27340"
"g26719","scaffold_182",215397,216623,0.16,"-",".","Stress-associated endoplasmic reticulum protein 2","ahrd-qc=***",1226,NA
"g26720","scaffold_182",220028,222829,0.18,"+",".","Squamosa promoter-binding-like protein 11","ahrd-qc=***",2801,"AT1G27360"
"g26721","scaffold_182",224161,227083,0.14,"-",".","Squamosa promoter-binding-like protein 10","ahrd-qc=***",2922,"AT1G27370"
"g26722","scaffold_182",229767,231153,0.21,"-",".","CRIB domain-containing protein RIC2","ahrd-qc=***",1386,"AT1G27380"
"g26723","scaffold_182",231966,233773,0.22,"-",".","At1g27385","ahrd-qc=***",1807,"AT1G27385"
"g26724","scaffold_182",234223,236093,0.25,"-",".","Mitochondrial import receptor subunit TOM20-2","ahrd-qc=***",1870,"AT1G27390"
"g26725","scaffold_182",238368,239983,0.82,"+",".","60S ribosomal protein L17-1","ahrd-qc=***",1615,"AT1G27400"
"g26726","scaffold_182",240138,243766,0.24,"+",".","DNA repair metallo-beta-lactamase family protein","ahrd-qc=***",3628,"AT1G27410"
"g26727","scaffold_182",244879,250463,0.05,"-",".","GYF domain-containing protein","ahrd-qc=***",5584,"AT1G24300"
"g26728","scaffold_182",251031,252183,0.33,"-",".","Unknown protein","",1152,"AT1G27435"
"g26729","scaffold_182",252529,254683,0.18,"-",".","Glycosyltransferase 47","ahrd-qc=***",2154,"AT1G27440"
"g26730","scaffold_182",256818,258922,0.26,"+",".","Adenine phosphoribosyltransferase","ahrd-qc=***",2104,"AT1G27450"
"g26731","scaffold_182",259368,262491,0.45,"+",".","Tetratricopeptide repeat 7B","ahrd-qc=***",3123,"AT1G27460"
"g26732","scaffold_182",263156,264483,0.43,"-",".","F17L21.26","ahrd-qc=*-*",1327,"AT1G27461"
"g26733","scaffold_182",265469,269603,0.34,"-",".","Transducin family protein","ahrd-qc=***",4134,"AT1G27470"
"g26734","scaffold_182",269878,271608,0.16,"+",".","Lecithin:cholesterol acyltransferase family protein","ahrd-qc=***",1730,"AT1G27480"
"g26735","scaffold_182",271764,272793,0.79,"-",".","BnaCnng59720D protein","ahrd-qc=***",1029,NA
"g26736","scaffold_182",273047,275733,0.48,"-",".","Kinesin light chain%2C putative","ahrd-qc=***",2686,"AT1G27500"
"g26737","scaffold_182",276339,279733,0.09,"-",".","Protein EXECUTER 2%2C chloroplastic","ahrd-qc=***",3394,"AT1G27510"
"g26739","scaffold_182",287478,290884,0.06,"+",".","alpha-1%2C2-Mannosidase","ahrd-qc=***",3406,"AT1G27520"
"g26740","scaffold_182",291769,299143,0.04,"-",".","Ubiquitin-fold modifier-conjugating enzyme 1","ahrd-qc=*-*",7374,"AT1G27530"
"g26742","scaffold_183",13636,14642,0.1,"+",".","DUF679 domain membrane protein","ahrd-qc=***",1006,"AT5G39650"
"g26744","scaffold_183",37696,39899,0.18,"+",".","Dof zinc finger protein","ahrd-qc=***",2203,"AT5G39660"
"g26745","scaffold_183",41586,42385,0.79,"+",".","Calcium-binding EF hand family protein","ahrd-qc=***",799,"AT5G39670"
"g26746","scaffold_183",42452,44821,0.21,"-",".","Pentatricopeptide repeat-containing protein At5g39680","ahrd-qc=***",2369,"AT5G39680"
"g26747","scaffold_183",54116,56484,0.83,"+",".","Pentatricopeptide repeat-containing protein At5g39710","ahrd-qc=***",2368,"AT5G39710"
"g26749","scaffold_183",78406,79607,0.64,"+",".","AIG2-like protein","ahrd-qc=***",1201,"AT5G39730"
"g26750","scaffold_183",80436,82430,0.21,"+",".","60S ribosomal protein L5-1","ahrd-qc=***",1994,"AT5G39740"
"g26751","scaffold_183",85965,87441,0.24,"-",".","Agamous-like MADS-box protein AGL75","ahrd-qc=***",1476,"AT5G41200"
"g26752","scaffold_183",91626,92995,0.09,"+",".","Zinc-finger homeodomain protein 10","ahrd-qc=***",1369,"AT5G39760"
"g26753","scaffold_183",96796,100015,0.05,"+",".","DNAse I-like superfamily protein","ahrd-qc=*-*",3219,NA
"g26754","scaffold_183",105307,105981,0.56,"-",".","Unknown protein","",674,NA
"g26755","scaffold_183",106345,109231,0.16,"-",".","Myosin heavy chain-like protein","ahrd-qc=***",2886,NA
"g26756","scaffold_183",111216,112524,0.05,"+",".","RNA-directed DNA polymerase (Reverse transcriptase)-related family protein","ahrd-qc=***",1308,NA
"g26758","scaffold_183",138116,141449,0.22,"+",".","60S ribosomal protein L34%2C putative","ahrd-qc=***",3333,"AT5G39785"
"g26759","scaffold_183",141725,144331,0.58,"-",".","5'-AMP-activated protein kinase subunit beta-1","ahrd-qc=***",2606,"AT5G39790"
"g26760","scaffold_183",150936,152513,0.35,"+",".","39S ribosomal protein L41%2C mitochondrial","ahrd-qc=***",1577,"AT5G39800"
"g26762","scaffold_183",162735,164381,0.42,"-",".","NAC domain-containing protein%2C putative","ahrd-qc=*-*",1646,"AT5G39820"
"g26765","scaffold_183",180091,183171,0.12,"+",".","Serine protease","ahrd-qc=***",3080,"AT5G39830"
"g26766","scaffold_183",185871,188701,0.1,"+",".","ATP-dependent RNA helicase SUPV3L1%2C mitochondrial","ahrd-qc=***",2830,"AT5G39840"
"g26767","scaffold_183",189341,191127,0.56,"+",".","40S ribosomal protein S9-2","ahrd-qc=***",1786,"AT5G39850"
"g26768","scaffold_183",197771,198743,0.2,"+",".","Transcription factor PRE1","ahrd-qc=***",972,"AT5G39860"
"g26771","scaffold_183",218931,221935,0.03,"+",".","Unknown protein","",3004,NA
"g26772","scaffold_183",225011,226615,0.04,"+",".","Unknown protein","",1604,NA
"g26773","scaffold_183",228130,232636,0.15,"-",".","F5M15.26","ahrd-qc=*-*",4506,NA
"g26778","scaffold_183",263412,265136,0.15,"-",".","Glutaredoxin family protein","ahrd-qc=***",1724,"AT5G39865"
"g26780","scaffold_184",975,4871,0.95,"-",".","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 2","ahrd-qc=***",3896,"AT3G03780"
"g26782","scaffold_184",9236,10534,0.11,"+",".","Unknown protein","",1298,"AT3G03776"
"g26783","scaffold_184",10557,13791,0.16,"-",".","Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase","ahrd-qc=*-*",3234,"AT3G03773"
"g26784","scaffold_184",17356,21133,0.75,"+",".","Receptor-like kinase 17","ahrd-qc=***",3777,"AT3G03770"
"g26787","scaffold_184",28746,30842,0.02,"+",".","Unknown protein","",2096,"AT3G46150"
"g26788","scaffold_184",32372,33551,0.23,"-",".","LOB domain protein 20","ahrd-qc=***",1179,"AT3G03760"
"g26789","scaffold_184",35641,37391,0.36,"-",".","Histone-lysine N-methyltransferase SUVR3","ahrd-qc=***",1750,"AT3G03750"
"g26790","scaffold_184",37716,40623,0.13,"+",".","BTB/POZ and MATH domain-containing protein 4","ahrd-qc=***",2907,"AT3G03740"
"g26792","scaffold_184",45366,49352,0.09,"+",".","Cationic amino acid transporter","ahrd-qc=***",3986,"AT3G03720"
"g26793","scaffold_184",54173,60161,0.67,"-",".","Polyribonucleotide nucleotidyltransferase%2C putative","ahrd-qc=***",5988,"AT3G03710"
"g26794","scaffold_184",61220,63281,0.21,"-",".","Plasma-membrane choline transporter family protein","ahrd-qc=***",2061,"AT3G03700"
"g26795","scaffold_184",68816,71140,0.33,"+",".","Core-2/I-branching beta-1%2C6-N-acetylglucosaminyltransferase family protein","ahrd-qc=***",2324,"AT3G03690"
"g26796","scaffold_184",71677,75011,0.21,"-",".","C2 domain-containing protein","ahrd-qc=***",3334,"AT3G03680"
"g26797","scaffold_184",82146,83749,0.17,"+",".","Peroxidase","ahrd-qc=***",1603,"AT3G03670"
"g26799","scaffold_184",116256,117992,0.14,"+",".","WUSCHEL related homeobox 11","ahrd-qc=***",1736,"AT3G03660"
"g26800","scaffold_184",122286,124554,0.09,"+",".","At3g03650","ahrd-qc=***",2268,"AT3G03650"
"g26801","scaffold_184",124585,127781,0.87,"-",".","Beta-glucosidase 23","ahrd-qc=***",3196,"AT3G03640"
"g26802","scaffold_184",128276,130755,0.35,"+",".","Cysteine synthase","ahrd-qc=***",2479,"AT3G03630"
"g26804","scaffold_184",134416,137561,0.06,"+",".","Protein DETOXIFICATION 24","ahrd-qc=***",3145,"AT3G03620"
"g26806","scaffold_184",139510,142501,0.11,"-",".","ELMO domain-containing protein A","ahrd-qc=***",2991,"AT3G03610"
"g26807","scaffold_184",142776,143769,0.21,"+",".","30S ribosomal S2","ahrd-qc=*-*",993,"AT3G03600"
"g26808","scaffold_184",144766,146500,0.2,"+",".","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1","ahrd-qc=*-*",1734,"AT3G03590"
"g26809","scaffold_184",154706,157615,0.31,"+",".","Pentatricopeptide repeat-containing protein","ahrd-qc=***",2909,"AT3G03580"
"g26810","scaffold_184",157684,161441,0.59,"-",".","Protein SCAI","ahrd-qc=***",3757,"AT3G03570"
"g26811","scaffold_184",162766,166346,0.39,"+",".","BnaC03g33460D protein","ahrd-qc=***",3580,"AT3G03560"
"g26812","scaffold_184",167956,169144,0.23,"+",".","RING-H2 finger protein ATL51","ahrd-qc=***",1188,"AT3G03550"
"g26814","scaffold_184",175576,177684,0.8,"+",".","Non-specific phospholipase C5","ahrd-qc=***",2108,"AT3G03540"
"g26815","scaffold_184",178856,182343,0.05,"+",".","Non-specific phospholipase C4","ahrd-qc=***",3487,"AT3G03530"
"g26816","scaffold_184",189557,195825,0.08,"+",".","Non-specific phospholipase C3","ahrd-qc=***",6268,"AT3G03520"
"g26817","scaffold_184",195932,199392,0.04,"-",".","BTB/POZ domain-containing protein At3g03510","ahrd-qc=***",3460,"AT3G03510"
"g26819","scaffold_184",202387,204165,0.18,"+",".","Peroxisome biogenesis protein 19-1","ahrd-qc=***",1778,"AT3G03490"
"g26820","scaffold_184",204527,206107,0.57,"+",".","Benzyl alcohol O-benzoyltransferase","ahrd-qc=***",1580,"AT3G03480"
"g26821","scaffold_184",214497,218112,0.54,"+",".","Cytochrome P450 89A9","ahrd-qc=***",3615,"AT3G03470"
"g26822","scaffold_184",219617,221692,0.3,"+",".","DELLA protein RGL2","ahrd-qc=***",2075,"AT3G03450"
"g26823","scaffold_184",222326,225402,0.9,"-",".","U-box domain-containing protein 4","ahrd-qc=***",3076,"AT3G03440"
"g26824","scaffold_184",226234,226732,0.23,"-",".","Polcalcin Bra n 2","ahrd-qc=***",498,"AT3G03430"
"g26825","scaffold_184",227223,228702,0.25,"-",".","Mitochondrial inner membrane protease ATP23","ahrd-qc=***",1479,"AT3G03420"
"g26826","scaffold_184",229317,229897,0.48,"+",".","Calmodulin","ahrd-qc=***",580,"AT3G03410"
"g26828","scaffold_184",232896,242052,0.17,"-",".","Pro-apoptotic serine protease nma111-like protein","ahrd-qc=***",9156,"AT3G03380"
"g26831","scaffold_184",250318,254702,0.02,"-",".","Casein kinase I-like protein","ahrd-qc=*-*",4384,NA
"g26832","scaffold_184",262407,263571,0.15,"+",".","Unknown protein","",1164,NA
"g26835","scaffold_184",266607,267082,0.72,"+",".","Unknown protein","",475,"AT3G03341"
"g26836","scaffold_184",267281,271012,0.36,"-",".","RNA-binding protein Luc7-like 2%2C putative%2C expressed","ahrd-qc=***",3731,"AT3G03340"
"g26837","scaffold_184",271117,273840,0.26,"+",".","Short-chain dehydrogenase/reductase family protein","ahrd-qc=***",2723,"AT3G03330"
"g26838","scaffold_184",273894,275532,0.13,"-",".","At3g03320","ahrd-qc=***",1638,"AT3G03320"
"g26839","scaffold_184",275647,278735,0.08,"+",".","Lecithin:cholesterol acyltransferase family protein","ahrd-qc=***",3088,"AT3G03310"
"g26840","scaffold_184",279367,282336,0.16,"+",".","Calcineurin-like metallo-phosphoesterase superfamily protein","ahrd-qc=***",2969,"AT3G03305"
"g26841","scaffold_184",283207,284711,0.18,"+",".","F-box family protein","ahrd-qc=***",1504,"AT1G76920"
"g26843","scaffold_184",288257,295441,0.2,"+",".","Dicer-like protein 2","ahrd-qc=***",7184,"AT3G03300"
"g26844","scaffold_184",295498,296742,0.28,"-",".","Adenine nucleotide alpha hydrolases-like protein","ahrd-qc=***",1244,"AT3G03290"
"g26846","scaffold_184",302592,303352,0.18,"-",".","At3g03280","ahrd-qc=***",760,"AT3G03280"
"g26847","scaffold_184",304637,305192,0.7,"+",".","Unknown protein","",555,"AT3G03272"
"g26849","scaffold_185",23494,25341,0.15,"-",".","ABSCISIC ACID-INSENSITIVE 5-like protein 1","ahrd-qc=***",1847,"AT3G44460"
"g26850","scaffold_185",29048,30311,0.46,"-",".","Alpha/beta-hydrolases family protein","ahrd-qc=***",1263,"AT3G44510"
"g26851","scaffold_185",37566,43365,0.13,"+",".","Protein HIRA","ahrd-qc=***",5799,"AT3G44530"
"g26853","scaffold_185",60185,64001,0.09,"-",".","Unknown protein","",3816,NA
"g26856","scaffold_185",110388,119791,0.01,"-",".","Similarity to Athila retroelement ORF1 protein","ahrd-qc=*-*",9403,NA
"g26857","scaffold_185",127006,136840,0.01,"+",".","Retroelement pol polyprotein-like","ahrd-qc=*-*",9834,NA
"g26860","scaffold_185",143045,151971,0.05,"-",".","Unknown protein","",8926,"AT1G41820"
"g26862","scaffold_185",159304,161731,0.02,"-",".","Unknown protein","",2427,NA
"g26863","scaffold_185",165456,168546,0.24,"+",".","F11M15.4 protein","ahrd-qc=***",3090,NA
"g26865","scaffold_185",191496,195109,0.42,"+",".","Fatty acyl-CoA reductase 1","ahrd-qc=***",3613,"AT3G44540"
"g26866","scaffold_185",210006,215427,0.39,"+",".","Fatty acyl-CoA reductase 8","ahrd-qc=***",5421,"AT3G44550"
"g26867","scaffold_185",229846,233176,0.56,"+",".","Fatty acyl-CoA reductase 8","ahrd-qc=***",3330,"AT3G44560"
"g26868","scaffold_185",237556,238627,0.45,"+",".","60S acidic ribosomal protein P2-4","ahrd-qc=***",1071,"AT3G44590"
"g26869","scaffold_185",238867,243181,0.26,"-",".","Peptidyl-prolyl cis-trans isomerase%2C putative","ahrd-qc=***",4314,"AT3G44600"
"g26871","scaffold_185",264324,268481,0.44,"-",".","Protein kinase like protein","ahrd-qc=***",4157,"AT3G44610"
"g26872","scaffold_185",272216,274136,0.19,"+",".","Low molecular weight protein-tyrosine-phosphatase%2C putative","ahrd-qc=***",1920,"AT3G44620"
"g26877","scaffold_186",3196,16890,0.01,"+",".","Serine/threonine-protein kinase ATR","ahrd-qc=***",13694,"AT5G40820"
"g26878","scaffold_186",17226,19841,0.33,"-",".","Cytochrome c1 2%2C heme protein%2C mitochondrial","ahrd-qc=***",2615,"AT5G40810"
"g26879","scaffold_186",26106,27094,0.15,"+",".","Emb|CAB62340.1","ahrd-qc=***",988,"AT5G40800"
"g26880","scaffold_186",40626,41776,0.21,"+",".","Emb|CAB62340.1","ahrd-qc=***",1150,"AT5G40790"
"g26881","scaffold_186",44834,48661,0.88,"-",".","Lysine histidine transporter 1","ahrd-qc=***",3827,"AT5G40780"
"g26882","scaffold_186",58336,59916,0.8,"+",".","Prohibitin%2C putative","ahrd-qc=***",1580,"AT5G40770"
"g26884","scaffold_186",67285,69281,0.2,"-",".","F-box/FBD/LRR-repeat protein At4g26340","ahrd-qc=***",1996,"AT5G40750"
"g26885","scaffold_186",71636,76162,0.28,"+",".","HAUS augmin-like complex subunit 6","ahrd-qc=***",4526,"AT5G40740"
"g26886","scaffold_186",76486,76901,0.75,"-",".","Arabinogalactan peptide 24","ahrd-qc=***",415,"AT5G40730"
"g26887","scaffold_186",78508,80781,0.09,"-",".","Glycosyltransferase","ahrd-qc=***",2273,"AT5G40720"
"g26888","scaffold_186",82359,84391,0.57,"-",".","Zinc finger family protein","ahrd-qc=***",2032,"AT5G40710"
"g26889","scaffold_186",87476,89267,0.15,"+",".","Dbj|BAA95710.1","ahrd-qc=***",1791,"AT5G40700"
"g26890","scaffold_186",89617,90491,0.12,"-",".","At5g40690","ahrd-qc=***",874,"AT5G40690"
"g26891","scaffold_186",91293,98201,0.14,"-",".","Kelch repeat-containing F-box family protein","ahrd-qc=***",6908,"AT5G40680"
"g26892","scaffold_186",98393,100611,0.24,"-",".","Cystinosin homolog","ahrd-qc=***",2218,"AT5G40670"
"g26893","scaffold_186",101006,103094,0.29,"+",".","ATP synthase mitochondrial F1 complex assembly factor 2","ahrd-qc=***",2088,"AT5G40660"
"g26894","scaffold_186",103142,104871,0.77,"-",".","Succinate dehydrogenase [ubiquinone] iron-sulfur subunit 2%2C mitochondrial","ahrd-qc=***",1729,"AT5G40650"
"g26896","scaffold_186",118655,122031,0.06,"-",".","RNA binding protein","ahrd-qc=***",3376,"AT3G10845"
"g26897","scaffold_186",134325,137691,0.48,"-",".","Dbj|BAA95714.1","ahrd-qc=***",3366,"AT5G40640"
"g26898","scaffold_186",151566,154480,0.57,"+",".","BAG family molecular chaperone regulator 2","ahrd-qc=*-*",2914,"AT5G40630"
"g26899","scaffold_186",156025,156651,0.07,"-",".","Unknown protein","",626,NA
"g26900","scaffold_186",159006,161431,0.22,"+",".","Glycerol-3-phosphate dehydrogenase [NAD(+)]","ahrd-qc=***",2425,"AT5G40610"
"g26901","scaffold_186",169804,171769,0.1,"+",".","Glycerol-3-phosphate dehydrogenase [NAD(+)]","ahrd-qc=*-*",1965,NA
"g26902","scaffold_186",172216,173059,0.51,"-",".","Unknown protein","",843,"AT5G40595"
"g26904","scaffold_186",184514,186895,0.25,"+",".","Proteasome subunit beta type-7-B","ahrd-qc=***",2381,"AT5G40580"
"g26905","scaffold_186",187008,188749,0.2,"-",".","Surfeit locus protein 2 family protein","ahrd-qc=***",1741,"AT5G40570"
"g26906","scaffold_186",189147,190959,0.36,"-",".","F-box/FBD/LRR-repeat protein At4g26340","ahrd-qc=***",1812,NA
"g26907","scaffold_186",198755,201349,0.04,"-",".","Serine protease","ahrd-qc=***",2594,"AT5G40560"
"g26908","scaffold_186",201751,204029,0.47,"-",".","SAGA-associated factor 29 like","ahrd-qc=***",2278,"AT5G40550"
"g26912","scaffold_186",211221,212989,0.35,"-",".","Ribosomal RNA-processing protein 8","ahrd-qc=***",1768,"AT5G40530"
"g26913","scaffold_186",213164,216036,0.24,"+",".","DNA double-strand break repair rad50 ATPase%2C putative isoform 3","ahrd-qc=***",2872,"AT5G40520"
"g26914","scaffold_186",216414,218279,0.23,"-",".","Sucrose cleavage protein-like","ahrd-qc=***",1865,"AT5G40510"
"g26915","scaffold_186",220255,221059,0.29,"-",".","Unknown protein","",804,"AT5G40500"
"g26916","scaffold_186",221210,223569,0.25,"-",".","RNA binding protein%2C putative","ahrd-qc=*-*",2359,"AT5G40490"
"g26917","scaffold_186",236309,247879,0.13,"-",".","Nuclear pore membrane glycoprotein","ahrd-qc=***",11570,"AT5G40480"
"g26918","scaffold_186",254554,256220,0.22,"+",".","F-box/LRR-repeat protein%2C putative","ahrd-qc=***",1666,NA
"g26919","scaffold_186",270683,271449,0.07,"-",".","Unknown protein","",766,"AT5G40460"
"g26920","scaffold_186",282774,293864,0.77,"+",".","Similarity to heat shock protein","ahrd-qc=***",11090,"AT5G40450"
"g26921","scaffold_186",293932,296979,0.23,"-",".","Mitogen-activated protein kinase kinase 3","ahrd-qc=***",3047,"AT5G40440"
"g26923","scaffold_187",9126,11621,0.4,"-",".","F-box protein At2g16365","ahrd-qc=***",2495,"AT2G16365"
"g26924","scaffold_187",38286,38930,0.01,"+",".","Unknown protein","",644,NA
"g26925","scaffold_187",41716,42540,0.2,"+",".","Unknown protein","",824,NA
"g26926","scaffold_187",42606,43235,0.22,"+",".","Uncharacterised protein","ahrd-qc=***",629,NA
"g26928","scaffold_187",54571,57341,0.22,"-",".","Epithiospecifier","ahrd-qc=***",2770,NA
"g26929","scaffold_187",65478,68371,0.35,"-",".","Wall-associated receptor kinase-like 9","ahrd-qc=***",2893,NA
"g26931","scaffold_187",105728,107581,0.22,"-",".","Unknown protein","",1853,NA
"g26935","scaffold_187",133666,135090,0.04,"+",".","BnaC09g08900D protein","ahrd-qc=***",1424,NA
"g26936","scaffold_187",147273,149271,0.34,"-",".","3-ketoacyl-CoA synthase 9","ahrd-qc=***",1998,"AT2G16280"
"g26938","scaffold_187",155886,158883,0.78,"+",".","BnaC07g05560D protein","ahrd-qc=***",2997,"AT2G16270"
"g26939","scaffold_187",165948,167066,0.29,"-",".","Unknown protein","",1118,NA
"g26940","scaffold_187",167871,171951,0.15,"+",".","Receptor protein kinase-like protein","ahrd-qc=***",4080,"AT2G16250"
"g26941","scaffold_187",173231,175570,0.07,"+",".","Glucan endo-1%2C3-beta-glucosidase 7","ahrd-qc=***",2339,"AT2G16230"
"g26942","scaffold_187",177791,179277,0.04,"+",".","Unknown protein","",1486,NA
"g26944","scaffold_187",207171,209314,0.39,"+",".","B3 domain-containing protein At2g16210","ahrd-qc=***",2143,"AT2G16210"
"g26946","scaffold_187",216186,221446,0.91,"-",".","Coatomer subunit gamma","ahrd-qc=***",5260,NA
"g26947","scaffold_187",222481,223849,0.08,"+",".","Unknown protein","",1368,"AT2G16190"
"g26948","scaffold_187",226346,228226,0.23,"-",".","BnaA07g03530D protein","ahrd-qc=***",1880,"AT2G16130"
"g26949","scaffold_187",230401,232397,0.13,"+",".","BnaA07g03530D protein","ahrd-qc=***",1996,"AT2G16120"
"g26951","scaffold_187",240241,242190,0.31,"+",".","Foot protein 1 variant 2","ahrd-qc=*-*",1949,NA
"g26952","scaffold_187",244211,246068,0.01,"+",".","Unknown protein","",1857,NA
"g26953","scaffold_187",253738,254356,0.23,"-",".","Uncharacterised protein","ahrd-qc=***",618,NA
"g26954","scaffold_187",254437,255236,0.24,"-",".","Unknown protein","",799,NA
"g26955","scaffold_187",255612,258556,0.03,"-",".","Myosin heavy chain-like protein","ahrd-qc=***",2944,NA
"g26957","scaffold_187",276971,279743,0.23,"+",".","RING/U-box superfamily protein isoform 1","ahrd-qc=***",2772,"AT2G16090"
"g26958","scaffold_187",285681,287147,0.2,"+",".","Plastid division protein PDV2","ahrd-qc=***",1466,"AT2G16070"
"g26959","scaffold_187",287411,288378,0.53,"+",".","Non-symbiotic hemoglobin 1","ahrd-qc=***",967,"AT2G16060"
"g26960","scaffold_187",294436,296166,0.11,"-",".","Cysteine/Histidine-rich C1 domain family protein","ahrd-qc=***",1730,"AT2G16050"
"g26962","scaffold_188",9966,11797,0.1,"+",".","Nucleoporin SEH1","ahrd-qc=***",1831,"AT1G64350"
"g26963","scaffold_188",12296,13381,0.37,"+",".","At1g64350/F15H21_2","ahrd-qc=***",1085,"AT1G64355"
"g26964","scaffold_188",14096,14627,0.38,"+",".","Unknown protein","",531,"AT1G64360"
"g26965","scaffold_188",14986,15730,0.22,"+",".","Unknown protein","",744,"AT1G64370"
"g26966","scaffold_188",17037,18411,0.32,"-",".","Ethylene-responsive transcription factor ERF061","ahrd-qc=***",1374,"AT1G64380"
"g26967","scaffold_188",39326,41268,0.38,"+",".","At1g64385","ahrd-qc=***",1942,"AT1G64385"
"g26969","scaffold_188",53816,57734,0.45,"+",".","Endoglucanase 6","ahrd-qc=***",3918,"AT1G64390"
"g26970","scaffold_188",58088,64151,0.48,"-",".","Long chain acyl-CoA synthetase 3","ahrd-qc=***",6063,"AT1G64400"
"g26971","scaffold_188",71846,72299,0.36,"+",".","Unknown protein","",453,"AT1G64405"
"g26972","scaffold_188",76836,80243,0.3,"+",".","Pentatricopeptide repeat (PPR) superfamily protein isoform 2","ahrd-qc=***",3407,"AT1G64430"
"g26974","scaffold_188",90096,92828,0.64,"+",".","UDP-glucose 4-epimerase 4","ahrd-qc=***",2732,"AT1G64440"
"g26975","scaffold_188",94708,95931,0.59,"-",".","At1g64450","ahrd-qc=***",1223,"AT1G64450"
"g26976","scaffold_188",98060,100371,0.5,"-",".","Phosphatidylinositol 3-and 4-kinase family protein","ahrd-qc=***",2311,"AT1G64460"
"g26977","scaffold_188",103782,105361,0.08,"-",".","Calcineurin B-like protein 8","ahrd-qc=***",1579,"AT1G64480"
"g26985","scaffold_188",136606,137437,0.07,"+",".","Mediator-associated protein 3","ahrd-qc=***",831,"AT1G64490"
"g26986","scaffold_188",137766,138990,0.09,"+",".","Glutaredoxin family protein","ahrd-qc=***",1224,"AT1G64500"
"g26987","scaffold_188",139297,140711,0.35,"-",".","Ribosomal protein S6 family protein","ahrd-qc=***",1414,"AT1G64510"
"g26988","scaffold_188",140856,142830,0.14,"+",".","26S proteasome non-ATPase regulatory subunit 8 homolog A","ahrd-qc=***",1974,"AT1G64520"
"g26989","scaffold_188",144226,147548,0.11,"+",".","Plant regulator RWP-RK family protein","ahrd-qc=***",3322,"AT1G64530"
